Coluna;Periodicidade
;2010
AC;4,2
AM;4,2
RR;4,3
PA;4,2
AP;4,3
TO;4,5
MA;4,2
PI;4,2
CE;4,1
RN;4,4
PB;4,3
PE;4,3
AL;4,3
SE;4,4
BA;4,3
MG;4,4
ES;4,7
RJ;4,7
SP;5,1
PR;4,3
SC;4,1
RS;4,2
MS;4,3
MT;4,1
GO;4,5
DF;4,9
