Coluna;Periodicidade
;2010
AC;4,2
AM;4,2
RR;4,3
PA;4,2
AP;4,6
TO;4,5
MA;4,3
PI;4,5
CE;4,4
RN;4,1
PB;4,4
PE;4,4
AL;4,5
SE;4,6
BA;4,8
MG;4,4
ES;5
RJ;5,4
SP;4,8
PR;4,4
SC;4
RS;4,3
MS;4,5
MT;4,2
GO;4,6
DF;5
